Id|TIPO_VIA|NOMBRE_VIA|PORTAL1|PORTAL2|CODPOSTAL|COD_INE_MUNICIPIO|LATITUD_WGS84_4326|LONGITUD_WGS84_4326|PROVINCIA|MUNICIPIO|POBLACION
|||||||38,992299|-1,859868|||
|||||||38,991351|-1,862013|||
|||||||38,988999|-1,862475|||
|||||||38,980195|-1,870839|||
|||||||38,992559|-1,856057|||
|||||||38,989752|-1,854652|||
|||||||38,989700|-1,858107|||
|||||||38,987904|-1,859720|||
|||||||38,987174|-1,857569|||
|||||||38,985272|-1,861763|||
|||||||38,985093|-1,853527|||
|||||||38,979799|-1,858333|||
|||||||38,991135|-1,856913|||
|||||||38,984798|-1,855020|||
|||||||38,984958|-1,856959|||
|||||||38,984569|-1,859219|||
|||||||38,983649|-1,856967|||
|||||||38,982206|-1,857310|||
|||||||38,991590|-1,850016|||
|||||||38,989082|-1,850172|||
|||||||38,989928|-1,852548|||
|||||||38,988226|-1,852337|||
|||||||38,985176|-1,850173|||
|||||||38,990144|-1,847754|||
|||||||38,991345|-1,841456|||
|||||||38,984373|-1,844299|||
|||||||38,980686|-1,849954|||
|||||||38,987433|-1,845774|||
|||||||38,990016|-1,843466|||
|||||||38,988571|-1,842681|||
|||||||38,986511|-1,851902|||
|||||||38,973903|-1,848650|||
|||||||38,989294|-1,845902|||
|||||||38,992010|-1,852843|||
|||||||38,978953|-1,841230|||
|||||||38,982949|-1,870193|||
|||||||38,900079|-2,004925|||
|||||||38,833174|-1,879916|||
|||||||38,917185|-1,927479|||
|||||||38,576167|-1,515860|||
|||||||39,291889|-1,385925|||
|||||||38,662485|-2,056659|||
|||||||39,185707|-1,402791|||
|||||||38,700189|-2,600200|||
|||||||38,748310|-2,422408|||
|||||||38,868807|-1,101111|||
|||||||38,869868|-1,099367|||
|||||||38,870653|-1,096412|||
|||||||38,872081|-1,091699|||
|||||||38,874925|-1,097219|||
|||||||38,867606|-1,095492|||
|||||||38,866362|-1,095767|||
|||||||38,866527|-1,097678|||
|||||||38,865754|-1,091803|||
|||||||38,868351|-1,092352|||
|||||||38,864477|-1,094913|||
|||||||38,863253|-1,092318|||
|||||||38,864435|-1,088349|||
|||||||38,859921|-1,088323|||
|||||||38,867412|-1,102633|||
|||||||38,874949|-1,108231|||
|||||||38,862121|-1,094239|||
|||||||38,840957|-1,090313|||
|||||||38,943375|-1,208985|||
|||||||38,999633|-1,289101|||
|||||||38,564978|-2,104934|||
|||||||38,873165|-2,129496|||
|||||||38,898224|-2,144245|||
|||||||39,261870|-1,210082|||
|||||||38,844424|-2,475773|||
|||||||39,033044|-2,204841|||
|||||||38,530116|-2,647542|||
|||||||38,583501|-2,234471|||
|||||||38,888180|-1,308648|||
|||||||38,923828|-2,661148|||
|||||||38,969559|-2,501329|||
|||||||38,901857|-2,555991|||
|||||||39,106199|-1,288200|||
|||||||39,097262|-1,574883|||
|||||||38,755759|-2,228953|||
|||||||39,249151|-1,300945|||
|||||||39,287677|-1,475891|||
|||||||39,264598|-1,464426|||
|||||||39,326378|-1,457024|||
|||||||38,708212|-1,010377|||
|||||||38,708712|-0,983788|||
|||||||38,706489|-0,982585|||
|||||||38,706213|-0,992151|||
|||||||38,702195|-0,994632|||
|||||||38,705270|-0,984998|||
|||||||38,703110|-0,982118|||
|||||||39,298191|-1,660517|||
|||||||38,811209|-1,440520|||
|||||||38,422889|-2,501174|||
|||||||38,851778|-1,705624|||
|||||||38,881571|-1,620338|||
|||||||38,452219|-2,052177|||
|||||||38,446840|-2,048113|||
|||||||38,454656|-2,095745|||
|||||||38,386581|-1,946236|||
|||||||39,240605|-2,068589|||
|||||||38,727271|-1,438852|||
|||||||38,683300|-1,483518|||
|||||||39,249770|-1,567901|||
|||||||39,129580|-1,970844|||
|||||||39,093122|-2,024037|||
|||||||39,236574|-1,635942|||
|||||||38,513919|-1,701764|||
|||||||38,521255|-1,697557|||
|||||||38,515040|-1,706106|||
|||||||38,503558|-1,713118|||
|||||||38,512851|-1,700144|||
|||||||38,513655|-1,697851|||
|||||||38,509874|-1,697351|||
|||||||38,510722|-1,701038|||
|||||||38,508999|-1,701933|||
|||||||38,506680|-1,699159|||
|||||||38,506852|-1,694050|||
|||||||38,513157|-1,685399|||
|||||||38,510054|-1,694275|||
|||||||38,493107|-1,696768|||
|||||||38,495299|-1,676446|||
|||||||38,569593|-1,775597|||
|||||||38,497946|-1,577447|||
|||||||38,462449|-1,797331|||
|||||||38,453052|-1,700315|||
|||||||38,392002|-1,598479|||
|||||||38,944735|-2,103134|||
|||||||38,966375|-1,429007|||
|||||||38,960867|-1,562482|||
|||||||39,160313|-1,545585|||
|||||||38,319489|-2,130901|||
|||||||38,969706|-2,344331|||
|||||||38,914207|-2,228511|||
|||||||38,489959|-1,910263|||
|||||||38,572595|-1,949650|||
|||||||39,263126|-1,796137|||
|||||||39,261354|-1,831452|||
|||||||39,209274|-1,823133|||
|||||||39,219723|-1,789643|||
|||||||39,204801|-1,716518|||
|||||||38,722687|-2,313751|||
|||||||39,221470|-2,315667|||
|||||||38,491874|-2,291704|||
|||||||39,170335|-2,031546|||
|||||||38,781020|-1,339767|||
|||||||38,752406|-1,284481|||
|||||||39,170319|-1,776742|||
|||||||39,099847|-2,445967|||
|||||||39,029105|-2,448610|||
|||||||39,025226|-2,505636|||
|||||||39,283677|-1,726615|||
|||||||38,143484|-2,360001|||
|||||||38,634776|-1,495007|||
|||||||38,601289|-1,482098|||
|||||||38,935615|-2,789696|||
|||||||38,999976|-2,742321|||
|||||||38,587677|-2,343632|||
|||||||38,669424|-2,328856|||
|||||||38,737337|-2,028037|||
|||||||38,793891|-1,525597|||
|||||||38,705339|-2,619031|||
|||||||38,711952|-1,913264|||
|||||||39,059250|-1,482261|||
|||||||38,814291|-2,087242|||
|||||||39,148378|-1,456808|||
|||||||38,481669|-2,423778|||
|||||||38,776489|-2,429954|||
|||||||39,204364|-2,154937|||
|||||||39,206624|-2,154029|||
|||||||39,199608|-2,148636|||
|||||||39,216255|-2,098714|||
|||||||39,204026|-2,160064|||
|||||||39,151397|-2,263892|||
|||||||39,209023|-2,167335|||
|||||||39,147070|-2,128379|||
|||||||39,208679|-2,158347|||
|||||||39,245673|-2,188129|||
|||||||38,575407|-2,547484|||
|||||||38,789736|-2,185031|||
|||||||38,332381|-1,986145|||
|||||||38,339349|-1,908360|||
|||||||39,218363|-1,963390|||
|||||||39,287823|-1,937736|||
|||||||39,254534|-1,998532|||
|||||||39,273332|-1,873822|||
|||||||39,208629|-1,892633|||
|||||||38,632787|-1,766276|||
|||||||38,639181|-1,684726|||
|||||||38,596913|-1,684421|||
|||||||38,589593|-1,688092|||
|||||||38,605431|-1,601758|||
|||||||39,104888|-1,667637|||
|||||||39,143460|-1,667163|||
|||||||38,581036|-2,506556|||
|||||||39,194338|-1,248491|||
|||||||39,319483|-2,044667|||
|||||||39,371409|-1,587619|||
|||||||39,354813|-1,538283|||
|||||||38,579443|-2,640847|||
|||||||39,264755|-2,605284|||
|||||||39,129815|-2,630340|||
|||||||39,141408|-2,740517|||
|||||||39,266160|-2,609195|||
|||||||39,266297|-2,612368|||
|||||||39,251732|-2,703437|||
|||||||39,308320|-2,636127|||
|||||||39,271146|-2,603862|||
|||||||39,270759|-2,600589|||
|||||||39,286073|-2,500907|||
|||||||39,306253|-2,573262|||
|||||||39,268049|-2,599020|||
|||||||39,262373|-2,600573|||
|||||||39,199028|-2,487505|||
|||||||39,262670|-2,592683|||
|||||||39,323067|-1,331795|||
|||||||39,117836|-1,468237|||
|||||||38,462394|-2,517467|||
|||||||38,800266|-2,574773|||
|||||||38,357154|-2,352158|||
|||||||38,328951|-2,345756|||
|||||||38,810707|-1,786496|||
|||||||38,745810|-1,725235|||
|||||||38,859035|-0,168730|||
|||||||38,442364|-0,641692|||
|||||||38,436933|-0,636717|||
|||||||38,439013|-0,641095|||
|||||||38,786914|-0,511931|||
|||||||38,510057|-0,363324|||
|||||||38,179336|-0,867970|||
|||||||38,177423|-0,870592|||
|||||||38,176127|-0,873955|||
|||||||38,181307|-0,865664|||
|||||||38,178075|-0,876094|||
|||||||38,212630|-0,888836|||
|||||||38,183132|-0,869095|||
|||||||38,755881|-0,030996|||
|||||||38,793043|-0,401461|||
|||||||38,664892|-0,327461|||
|||||||38,699959|-0,473383|||
|||||||38,696113|-0,474627|||
|||||||38,697338|-0,477339|||
|||||||38,697647|-0,469176|||
|||||||38,684585|-0,474424|||
|||||||38,691084|-0,477472|||
|||||||38,692208|-0,479412|||
|||||||38,690936|-0,470546|||
|||||||38,695583|-0,471845|||
|||||||38,691064|-0,473835|||
|||||||38,690438|-0,486415|||
|||||||38,693728|-0,485441|||
|||||||38,695088|-0,485374|||
|||||||38,693254|-0,488562|||
|||||||38,689514|-0,492376|||
|||||||38,687138|-0,495187|||
|||||||38,695564|-0,480413|||
|||||||38,697068|-0,482185|||
|||||||38,697345|-0,484377|||
|||||||38,695853|-0,486259|||
|||||||38,696555|-0,485834|||
|||||||38,697554|-0,487601|||
|||||||38,698302|-0,485537|||
|||||||38,693311|-0,482852|||
|||||||38,699825|-0,478182|||
|||||||38,699492|-0,481290|||
|||||||38,700192|-0,486062|||
|||||||38,700728|-0,482956|||
|||||||38,701307|-0,481717|||
|||||||38,704708|-0,482004|||
|||||||38,701695|-0,479068|||
|||||||38,702583|-0,480504|||
|||||||38,703392|-0,477690|||
|||||||38,705538|-0,476301|||
|||||||38,702253|-0,475079|||
|||||||38,705023|-0,473427|||
|||||||38,707217|-0,472063|||
|||||||38,705433|-0,470291|||
|||||||38,705615|-0,466774|||
|||||||38,708282|-0,464968|||
|||||||38,707839|-0,463552|||
|||||||38,708740|-0,470742|||
|||||||38,713957|-0,466602|||
|||||||38,681541|-0,518454|||
|||||||38,709358|-0,468597|||
|||||||38,708249|-0,468048|||
|||||||38,709090|-0,466732|||
|||||||38,711780|-0,460261|||
|||||||38,780885|-0,563751|||
|||||||38,580257|-0,101639|||
|||||||38,563597|-0,071045|||
|||||||38,579806|-0,106240|||
|||||||38,581396|-0,091187|||
|||||||38,593372|-0,107577|||
|||||||38,571042|-0,067141|||
|||||||38,578298|-0,099554|||
|||||||38,577759|-0,096336|||
|||||||38,064028|-0,786856|||
|||||||38,343593|-1,004071|||
|||||||38,336661|-0,489937|||
|||||||38,339349|-0,490761|||
|||||||38,340719|-0,491662|||
|||||||38,341427|-0,490085|||
|||||||38,342052|-0,487981|||
|||||||38,342251|-0,493003|||
|||||||38,344234|-0,492673|||
|||||||38,345317|-0,491325|||
|||||||38,345693|-0,488977|||
|||||||38,346526|-0,487108|||
|||||||38,347178|-0,484966|||
|||||||38,346511|-0,483000|||
|||||||38,346698|-0,480696|||
|||||||38,343954|-0,487618|||
|||||||38,344201|-0,485776|||
